teensy_ms,esp_ms,sensor,temperature,humidity,pressure,gas
4088,4534,ENV,22.62,61.30,0.00,0.00
4653,3534,ENV,22.62,61.03,0.00,0.00
5652,4534,ENV,22.63,61.01,0.00,0.00
6652,5534,ENV,22.62,61.00,0.00,0.00
7652,6534,ENV,22.61,61.01,0.00,0.00
8652,7534,ENV,22.62,61.00,0.00,0.00
9652,8534,ENV,22.60,60.96,0.00,0.00
10652,9534,ENV,22.61,60.94,0.00,0.00
11652,10534,ENV,22.59,60.92,0.00,0.00
12652,11534,ENV,22.60,60.90,0.00,0.00
13652,12534,ENV,22.59,60.88,0.00,0.00
14652,13534,ENV,22.60,60.85,0.00,0.00
15652,14534,ENV,22.58,60.80,0.00,0.00
16652,15534,ENV,22.59,60.74,0.00,0.00
17652,16534,ENV,22.60,60.75,0.00,0.00
18652,17534,ENV,22.59,60.72,0.00,0.00
19652,18534,ENV,22.61,60.70,0.00,0.00
20652,19534,ENV,22.59,60.69,0.00,0.00
21652,20534,ENV,22.60,60.68,0.00,0.00
22652,21534,ENV,22.59,60.65,0.00,0.00
23652,22534,ENV,22.60,60.62,0.00,0.00
24652,23534,ENV,22.60,60.57,0.00,0.00
25652,24534,ENV,22.60,60.55,0.00,0.00
26652,25534,ENV,22.60,60.52,0.00,0.00
27652,26534,ENV,22.60,60.48,0.00,0.00
28652,27534,ENV,22.60,60.47,0.00,0.00
29652,28534,ENV,22.59,60.45,0.00,0.00
30652,29534,ENV,22.59,60.42,0.00,0.00
31652,30534,ENV,22.58,60.40,0.00,0.00
32652,31534,ENV,22.57,60.37,0.00,0.00
33652,32534,ENV,22.57,60.43,0.00,0.00
34652,33534,ENV,22.58,60.45,0.00,0.00
35652,34534,ENV,22.57,60.47,0.00,0.00
36652,35534,ENV,22.56,60.43,0.00,0.00
37652,36534,ENV,22.57,60.40,0.00,0.00
38652,37534,ENV,22.58,60.35,0.00,0.00
39652,38534,ENV,22.58,60.36,0.00,0.00
40652,39534,ENV,22.57,60.38,0.00,0.00
41652,40534,ENV,22.57,60.40,0.00,0.00
42652,41534,ENV,22.57,60.47,0.00,0.00
43652,42534,ENV,22.58,60.51,0.00,0.00
44652,43534,ENV,22.55,60.57,0.00,0.00
45652,44534,ENV,22.54,60.59,0.00,0.00
46652,45534,ENV,22.54,60.64,0.00,0.00
47652,46534,ENV,22.55,60.64,0.00,0.00
48652,47534,ENV,22.53,60.63,0.00,0.00
49652,48534,ENV,22.54,60.72,0.00,0.00
50652,49534,ENV,22.54,60.74,0.00,0.00
51652,50534,ENV,22.53,60.71,0.00,0.00
