teensy_ms,esp_ms,sensor,accel_x,accel_y,accel_z,magnitude
4092,4582,IMU,0.23,-0.27,7.84,7.85
4101,462982,IMU,0.11,-0.38,7.73,7.74
4201,3082,IMU,0.13,-0.39,7.75,7.76
4301,3182,IMU,0.09,-0.39,7.75,7.77
4401,3282,IMU,0.10,-0.40,7.76,7.77
4501,3382,IMU,0.10,-0.37,7.75,7.76
4601,3482,IMU,0.09,-0.39,7.74,7.75
4783,3663,IMU,0.11,-0.39,7.74,7.75
4801,3682,IMU,0.10,-0.38,7.72,7.73
4901,3782,IMU,0.11,-0.38,7.72,7.73
5001,3882,IMU,0.11,-0.37,7.76,7.77
5101,3982,IMU,0.13,-0.39,7.75,7.76
5201,4082,IMU,0.12,-0.39,7.73,7.74
5301,4182,IMU,0.11,-0.39,7.74,7.75
5401,4282,IMU,0.11,-0.39,7.73,7.74
5501,4382,IMU,0.13,-0.39,7.73,7.74
5601,4482,IMU,0.10,-0.38,7.72,7.73
5701,4582,IMU,0.11,-0.36,7.75,7.76
5801,4682,IMU,0.09,-0.38,7.76,7.77
5901,4782,IMU,0.12,-0.40,7.75,7.76
6001,4882,IMU,0.11,-0.39,7.73,7.74
6101,4982,IMU,0.12,-0.37,7.74,7.75
6201,5082,IMU,0.12,-0.39,7.74,7.75
6301,5182,IMU,0.11,-0.38,7.73,7.74
6401,5282,IMU,0.10,-0.38,7.73,7.74
6501,5382,IMU,0.11,-0.39,7.73,7.74
6601,5482,IMU,0.10,-0.39,7.72,7.73
6783,5663,IMU,0.12,-0.38,7.74,7.75
6801,5682,IMU,0.11,-0.38,7.72,7.73
6901,5782,IMU,0.09,-0.38,7.72,7.73
7001,5882,IMU,0.11,-0.38,7.73,7.74
7101,5982,IMU,0.10,-0.40,7.74,7.75
7201,6082,IMU,0.10,-0.39,7.75,7.76
7301,6182,IMU,0.12,-0.38,7.73,7.74
7401,6282,IMU,0.11,-0.41,7.75,7.76
7501,6382,IMU,0.13,-0.38,7.78,7.79
7601,6482,IMU,0.08,-0.38,7.73,7.74
7701,6582,IMU,0.12,-0.38,7.78,7.79
7801,6682,IMU,0.12,-0.38,7.75,7.76
7901,6782,IMU,0.11,-0.38,7.76,7.77
8001,6882,IMU,0.11,-0.38,7.74,7.75
8101,6982,IMU,0.11,-0.37,7.75,7.76
8201,7082,IMU,0.09,-0.39,7.75,7.76
8301,7182,IMU,0.11,-0.37,7.75,7.76
8401,7282,IMU,0.12,-0.38,7.73,7.74
8501,7382,IMU,0.13,-0.39,7.75,7.76
8601,7482,IMU,0.11,-0.39,7.74,7.75
8783,7663,IMU,0.11,-0.39,7.73,7.74
8801,7682,IMU,0.11,-0.40,7.74,7.75
8901,7782,IMU,0.10,-0.36,7.71,7.72
9001,7882,IMU,0.11,-0.37,7.75,7.76
9101,7982,IMU,0.11,-0.38,7.74,7.75
9201,8082,IMU,0.11,-0.37,7.74,7.75
9301,8182,IMU,0.10,-0.38,7.74,7.75
9401,8282,IMU,0.10,-0.39,7.74,7.75
9501,8382,IMU,0.08,-0.40,7.74,7.75
9601,8482,IMU,0.10,-0.39,7.73,7.74
9701,8582,IMU,0.12,-0.35,7.75,7.76
9801,8682,IMU,0.10,-0.38,7.70,7.71
9901,8782,IMU,0.11,-0.40,7.74,7.75
10001,8882,IMU,0.09,-0.38,7.75,7.76
10101,8982,IMU,0.10,-0.38,7.72,7.73
10201,9082,IMU,0.11,-0.36,7.74,7.74
10301,9182,IMU,0.11,-0.38,7.73,7.74
10401,9282,IMU,0.11,-0.36,7.77,7.78
10501,9382,IMU,0.10,-0.38,7.73,7.74
10601,9482,IMU,0.11,-0.40,7.74,7.75
10783,9663,IMU,0.09,-0.37,7.73,7.74
10801,9682,IMU,0.12,-0.37,7.77,7.78
10901,9782,IMU,0.12,-0.37,7.74,7.75
11001,9882,IMU,0.09,-0.39,7.72,7.73
11101,9982,IMU,0.10,-0.39,7.72,7.73
11201,10082,IMU,0.09,-0.38,7.73,7.74
11301,10182,IMU,0.11,-0.39,7.72,7.73
11401,10282,IMU,0.11,-0.39,7.71,7.72
11501,10382,IMU,0.10,-0.39,7.74,7.75
11601,10482,IMU,0.10,-0.38,7.74,7.75
11701,10582,IMU,0.12,-0.39,7.71,7.73
11801,10682,IMU,0.10,-0.37,7.73,7.74
11901,10782,IMU,0.11,-0.39,7.75,7.76
12001,10882,IMU,0.12,-0.37,7.73,7.74
12101,10982,IMU,0.11,-0.39,7.75,7.76
12201,11082,IMU,0.10,-0.39,7.74,7.75
12301,11182,IMU,0.12,-0.40,7.74,7.75
12401,11282,IMU,0.12,-0.39,7.74,7.75
12501,11382,IMU,0.11,-0.39,7.74,7.75
12601,11482,IMU,0.12,-0.40,7.75,7.76
12782,11663,IMU,0.11,-0.38,7.76,7.77
12801,11682,IMU,0.10,-0.38,7.76,7.77
12901,11782,IMU,0.11,-0.37,7.72,7.73
13001,11882,IMU,0.11,-0.40,7.75,7.76
13101,11982,IMU,0.12,-0.39,7.77,7.78
13201,12082,IMU,0.13,-0.39,7.76,7.77
13301,12182,IMU,0.11,-0.38,7.73,7.74
13401,12282,IMU,0.12,-0.39,7.73,7.74
13501,12382,IMU,0.10,-0.38,7.76,7.77
13601,12482,IMU,0.11,-0.36,7.72,7.73
13701,12582,IMU,0.11,-0.38,7.75,7.76
13801,12682,IMU,0.10,-0.38,7.74,7.75
13901,12782,IMU,0.10,-0.40,7.72,7.73
14001,12882,IMU,0.10,-0.37,7.71,7.72
14101,12982,IMU,0.11,-0.37,7.75,7.76
14201,13082,IMU,0.10,-0.38,7.72,7.73
14301,13182,IMU,0.12,-0.37,7.75,7.76
14401,13282,IMU,0.10,-0.39,7.73,7.74
14501,13382,IMU,0.10,-0.39,7.76,7.77
14601,13482,IMU,0.11,-0.36,7.70,7.71
14783,13663,IMU,0.10,-0.38,7.76,7.77
14801,13682,IMU,0.10,-0.38,7.74,7.75
14901,13782,IMU,0.09,-0.41,7.73,7.74
15001,13882,IMU,0.11,-0.37,7.71,7.72
15101,13982,IMU,0.11,-0.38,7.77,7.78
15201,14082,IMU,0.11,-0.38,7.76,7.77
15301,14182,IMU,0.11,-0.36,7.73,7.74
15401,14282,IMU,0.11,-0.38,7.76,7.77
15501,14382,IMU,0.10,-0.38,7.74,7.75
15601,14482,IMU,0.10,-0.37,7.74,7.75
15701,14582,IMU,0.12,-0.40,7.74,7.75
15801,14682,IMU,0.09,-0.40,7.73,7.74
15901,14782,IMU,0.10,-0.41,7.75,7.76
16001,14882,IMU,0.09,-0.40,7.74,7.75
16101,14982,IMU,0.10,-0.37,7.74,7.75
16201,15082,IMU,0.11,-0.38,7.71,7.72
16301,15182,IMU,0.11,-0.38,7.73,7.74
16401,15282,IMU,0.10,-0.38,7.74,7.75
16501,15382,IMU,0.11,-0.39,7.73,7.74
16601,15482,IMU,0.10,-0.38,7.71,7.72
16782,15663,IMU,0.10,-0.38,7.77,7.78
16801,15682,IMU,0.08,-0.38,7.73,7.74
16901,15782,IMU,0.12,-0.39,7.75,7.77
17001,15882,IMU,0.11,-0.39,7.75,7.76
17101,15982,IMU,0.09,-0.40,7.74,7.75
17201,16082,IMU,0.11,-0.39,7.76,7.78
17301,16182,IMU,0.11,-0.38,7.74,7.75
17401,16282,IMU,0.11,-0.40,7.74,7.75
17501,16382,IMU,0.12,-0.39,7.76,7.77
17601,16482,IMU,0.10,-0.39,7.72,7.73
17701,16582,IMU,0.11,-0.38,7.74,7.75
17801,16682,IMU,0.10,-0.41,7.77,7.78
17901,16782,IMU,0.10,-0.39,7.73,7.74
18001,16882,IMU,0.09,-0.38,7.77,7.78
18101,16982,IMU,0.12,-0.38,7.75,7.76
18201,17082,IMU,0.11,-0.37,7.75,7.76
18301,17182,IMU,0.10,-0.38,7.70,7.71
18401,17282,IMU,0.12,-0.38,7.75,7.76
18501,17382,IMU,0.13,-0.37,7.73,7.74
18601,17482,IMU,0.09,-0.38,7.73,7.74
18782,17663,IMU,0.12,-0.40,7.73,7.74
18801,17682,IMU,0.09,-0.38,7.71,7.72
18901,17782,IMU,0.11,-0.40,7.72,7.73
19001,17882,IMU,0.09,-0.39,7.74,7.75
19101,17982,IMU,0.12,-0.40,7.76,7.77
19201,18082,IMU,0.10,-0.37,7.73,7.74
19301,18182,IMU,0.12,-0.38,7.76,7.77
19401,18282,IMU,0.10,-0.39,7.77,7.78
19501,18382,IMU,0.09,-0.38,7.73,7.74
19601,18482,IMU,0.11,-0.38,7.76,7.77
19701,18582,IMU,0.12,-0.39,7.74,7.75
19801,18682,IMU,0.10,-0.37,7.75,7.76
19901,18782,IMU,0.13,-0.37,7.73,7.74
20001,18882,IMU,0.08,-0.38,7.74,7.75
20101,18982,IMU,0.10,-0.38,7.77,7.78
20201,19082,IMU,0.12,-0.37,7.74,7.75
20301,19182,IMU,0.11,-0.38,7.71,7.72
20401,19282,IMU,0.10,-0.37,7.73,7.74
20501,19382,IMU,0.11,-0.41,7.75,7.76
20601,19482,IMU,0.12,-0.38,7.72,7.73
20782,19663,IMU,0.09,-0.39,7.72,7.73
20801,19682,IMU,0.10,-0.36,7.72,7.73
20901,19782,IMU,0.09,-0.49,7.59,7.60
21001,19882,IMU,0.08,-0.38,7.76,7.77
21101,19982,IMU,0.11,-0.38,7.74,7.75
21201,20082,IMU,0.12,-0.41,7.74,7.75
21301,20182,IMU,0.12,-0.40,7.75,7.76
21401,20282,IMU,0.12,-0.36,7.75,7.76
21501,20382,IMU,0.10,-0.37,7.76,7.77
21601,20482,IMU,0.10,-0.38,7.75,7.76
21701,20582,IMU,0.04,-0.37,7.51,7.52
21801,20682,IMU,0.12,-0.38,7.78,7.79
21901,20782,IMU,0.11,-0.40,7.73,7.75
22001,20882,IMU,0.09,-0.33,7.75,7.76
22101,20982,IMU,0.10,-0.41,7.67,7.68
22201,21082,IMU,0.07,-0.36,7.76,7.77
22301,21182,IMU,0.13,-0.41,7.76,7.77
22401,21282,IMU,0.11,-0.40,7.72,7.73
22501,21382,IMU,0.08,-0.39,7.76,7.77
22601,21482,IMU,0.10,-0.34,7.78,7.79
22782,21663,IMU,0.08,-0.36,7.72,7.73
22801,21682,IMU,0.08,-0.41,7.73,7.74
22901,21782,IMU,0.11,-0.36,7.80,7.81
23001,21882,IMU,0.09,-0.37,7.76,7.77
23101,21982,IMU,0.11,-0.40,7.73,7.74
23201,22082,IMU,0.10,-0.38,7.74,7.75
23301,22182,IMU,0.11,-0.38,7.75,7.76
23401,22282,IMU,0.10,-0.38,7.73,7.74
23501,22382,IMU,0.11,-0.38,7.73,7.74
23601,22482,IMU,0.10,-0.36,7.72,7.73
23701,22582,IMU,0.10,-0.38,7.74,7.75
23801,22682,IMU,0.11,-0.39,7.74,7.75
23901,22782,IMU,0.12,-0.37,7.74,7.75
24001,22882,IMU,0.12,-0.39,7.73,7.74
24101,22982,IMU,0.10,-0.37,7.73,7.74
24201,23082,IMU,0.11,-0.39,7.73,7.75
24301,23182,IMU,0.11,-0.39,7.76,7.77
24401,23282,IMU,0.09,-0.38,7.72,7.73
24501,23382,IMU,0.10,-0.38,7.73,7.74
24601,23482,IMU,0.11,-0.37,7.74,7.75
24782,23663,IMU,0.11,-0.38,7.74,7.75
24801,23682,IMU,0.12,-0.38,7.73,7.74
24901,23782,IMU,0.10,-0.38,7.72,7.73
25001,23882,IMU,0.11,-0.38,7.74,7.75
25101,23982,IMU,0.12,-0.38,7.74,7.75
25201,24082,IMU,0.11,-0.37,7.74,7.75
25301,24182,IMU,0.10,-0.37,7.75,7.75
25401,24282,IMU,0.11,-0.39,7.72,7.73
25501,24382,IMU,0.10,-0.37,7.73,7.74
25601,24482,IMU,0.10,-0.39,7.73,7.74
25701,24582,IMU,0.11,-0.38,7.72,7.73
25801,24682,IMU,0.11,-0.39,7.75,7.76
25901,24782,IMU,0.11,-0.39,7.75,7.76
26001,24882,IMU,0.11,-0.37,7.74,7.75
26101,24982,IMU,0.10,-0.37,7.75,7.76
26201,25082,IMU,0.12,-0.37,7.75,7.76
26301,25182,IMU,0.09,-0.38,7.72,7.73
26401,25282,IMU,0.12,-0.37,7.75,7.76
26501,25382,IMU,0.11,-0.40,7.73,7.74
26601,25482,IMU,0.11,-0.37,7.72,7.73
26782,25663,IMU,0.10,-0.38,7.75,7.76
26801,25682,IMU,0.09,-0.37,7.73,7.74
26901,25782,IMU,0.11,-0.37,7.72,7.73
27001,25882,IMU,0.11,-0.37,7.74,7.75
27101,25982,IMU,0.12,-0.38,7.74,7.75
27201,26082,IMU,0.10,-0.38,7.74,7.75
27301,26182,IMU,0.12,-0.40,7.73,7.74
27401,26282,IMU,0.11,-0.39,7.76,7.77
27501,26382,IMU,0.11,-0.39,7.75,7.76
27601,26482,IMU,0.11,-0.38,7.72,7.74
27701,26582,IMU,0.12,-0.39,7.73,7.74
27801,26682,IMU,0.11,-0.38,7.75,7.76
27901,26782,IMU,0.11,-0.37,7.76,7.77
28001,26882,IMU,0.10,-0.37,7.78,7.78
28101,26982,IMU,0.10,-0.38,7.73,7.74
28201,27082,IMU,0.11,-0.39,7.73,7.74
28301,27182,IMU,0.11,-0.36,7.75,7.75
28401,27282,IMU,0.13,-0.36,7.74,7.75
28501,27382,IMU,0.11,-0.38,7.74,7.75
28601,27482,IMU,0.10,-0.38,7.73,7.74
28796,27663,IMU,0.10,-0.38,7.73,7.74
28814,27682,IMU,0.10,-0.36,7.78,7.79
28901,27782,IMU,0.10,-0.39,7.74,7.75
29001,27882,IMU,0.10,-0.38,7.74,7.75
29101,27982,IMU,0.09,-0.40,7.72,7.73
29201,28082,IMU,0.10,-0.39,7.74,7.75
29301,28182,IMU,0.10,-0.38,7.72,7.73
29401,28282,IMU,0.11,-0.39,7.72,7.73
29501,28382,IMU,0.10,-0.39,7.77,7.78
29601,28482,IMU,0.11,-0.39,7.75,7.76
29701,28582,IMU,0.11,-0.40,7.72,7.73
29801,28682,IMU,0.09,-0.38,7.72,7.73
29901,28782,IMU,0.10,-0.38,7.75,7.76
30001,28882,IMU,0.10,-0.38,7.74,7.75
30101,28982,IMU,0.10,-0.38,7.74,7.75
30201,29082,IMU,0.10,-0.37,7.76,7.77
30301,29182,IMU,0.10,-0.38,7.75,7.76
30401,29282,IMU,0.12,-0.36,7.74,7.75
30501,29382,IMU,0.10,-0.37,7.72,7.73
30601,29482,IMU,0.09,-0.35,7.74,7.75
30792,29663,IMU,0.10,-0.38,7.75,7.76
30809,29682,IMU,0.09,-0.38,7.73,7.74
30901,29782,IMU,0.10,-0.37,7.74,7.75
31001,29882,IMU,0.11,-0.37,7.73,7.74
31101,29982,IMU,0.09,-0.38,7.75,7.76
31201,30082,IMU,0.12,-0.38,7.76,7.77
31301,30182,IMU,0.13,-0.39,7.74,7.75
31401,30282,IMU,0.10,-0.39,7.73,7.74
31501,30382,IMU,0.10,-0.39,7.72,7.73
31601,30482,IMU,0.11,-0.38,7.70,7.71
31701,30582,IMU,0.09,-0.35,7.77,7.78
31801,30682,IMU,0.10,-0.38,7.73,7.74
31901,30782,IMU,0.12,-0.38,7.76,7.77
32001,30882,IMU,0.11,-0.38,7.76,7.77
32101,30982,IMU,0.10,-0.37,7.72,7.73
32201,31082,IMU,0.10,-0.37,7.75,7.76
32301,31182,IMU,0.10,-0.40,7.75,7.76
32401,31282,IMU,0.10,-0.39,7.75,7.76
32501,31382,IMU,0.10,-0.40,7.73,7.74
32601,31482,IMU,0.10,-0.38,7.75,7.76
32791,31663,IMU,0.10,-0.37,7.75,7.75
32805,31682,IMU,0.11,-0.39,7.74,7.75
32901,31782,IMU,0.13,-0.38,7.74,7.75
33001,31882,IMU,0.13,-0.38,7.72,7.73
33101,31982,IMU,0.09,-0.39,7.75,7.76
33201,32082,IMU,0.10,-0.37,7.73,7.74
33301,32182,IMU,0.10,-0.37,7.73,7.74
33401,32282,IMU,0.10,-0.38,7.75,7.76
33501,32382,IMU,0.12,-0.37,7.73,7.74
33601,32482,IMU,0.11,-0.38,7.74,7.75
33701,32582,IMU,0.10,-0.37,7.75,7.76
33801,32682,IMU,0.13,-0.38,7.74,7.75
33901,32782,IMU,0.10,-0.38,7.75,7.76
34001,32882,IMU,0.11,-0.37,7.73,7.74
34101,32982,IMU,0.11,-0.37,7.78,7.79
34201,33082,IMU,0.12,-0.38,7.73,7.74
34301,33182,IMU,0.10,-0.39,7.73,7.74
34401,33282,IMU,0.09,-0.35,7.73,7.74
34501,33382,IMU,0.11,-0.37,7.73,7.74
34601,33482,IMU,0.10,-0.39,7.72,7.73
34791,33663,IMU,0.11,-0.40,7.74,7.75
34804,33682,IMU,0.11,-0.39,7.70,7.72
34901,33782,IMU,0.11,-0.38,7.72,7.73
35001,33882,IMU,0.11,-0.40,7.72,7.73
35101,33982,IMU,0.10,-0.37,7.72,7.73
35201,34082,IMU,0.11,-0.37,7.72,7.73
35301,34182,IMU,0.09,-0.40,7.73,7.74
35401,34282,IMU,0.11,-0.40,7.75,7.76
35501,34382,IMU,0.12,-0.37,7.74,7.75
35601,34482,IMU,0.09,-0.40,7.76,7.77
35701,34582,IMU,0.09,-0.36,7.71,7.72
35801,34682,IMU,0.08,-0.39,7.73,7.74
35901,34782,IMU,0.09,-0.36,7.72,7.73
36001,34882,IMU,0.11,-0.38,7.71,7.72
36101,34982,IMU,0.11,-0.38,7.75,7.76
36201,35082,IMU,0.10,-0.38,7.74,7.75
36301,35182,IMU,0.09,-0.37,7.74,7.75
36401,35282,IMU,0.10,-0.38,7.74,7.75
36501,35382,IMU,0.09,-0.38,7.72,7.73
36601,35482,IMU,0.11,-0.40,7.75,7.77
36791,35663,IMU,0.10,-0.37,7.74,7.75
36805,35682,IMU,0.11,-0.37,7.75,7.76
36901,35782,IMU,0.11,-0.38,7.76,7.77
37001,35882,IMU,0.10,-0.38,7.76,7.77
37101,35982,IMU,0.11,-0.38,7.75,7.77
37201,36082,IMU,0.11,-0.39,7.75,7.77
37301,36182,IMU,0.09,-0.36,7.74,7.75
37401,36282,IMU,0.10,-0.38,7.74,7.75
37501,36382,IMU,0.13,-0.38,7.74,7.75
37601,36482,IMU,0.12,-0.37,7.73,7.74
37701,36582,IMU,0.11,-0.37,7.74,7.75
37801,36682,IMU,0.10,-0.39,7.74,7.75
37901,36782,IMU,0.09,-0.39,7.75,7.76
38001,36882,IMU,0.10,-0.37,7.74,7.75
38101,36982,IMU,0.11,-0.38,7.73,7.74
38201,37082,IMU,0.10,-0.39,7.70,7.71
38301,37182,IMU,0.08,-0.40,7.67,7.69
38401,37282,IMU,0.08,-0.39,7.83,7.84
38501,37382,IMU,0.10,-0.37,7.73,7.74
38601,37482,IMU,0.11,-0.39,7.72,7.73
38781,37663,IMU,0.13,-0.38,7.72,7.73
38801,37682,IMU,0.10,-0.38,7.73,7.74
38901,37782,IMU,0.10,-0.40,7.73,7.74
39001,37882,IMU,0.11,-0.40,7.76,7.77
39101,37982,IMU,0.10,-0.39,7.74,7.75
39201,38082,IMU,0.11,-0.38,7.70,7.71
39301,38182,IMU,0.06,-0.39,7.67,7.68
39401,38282,IMU,0.06,-0.31,7.62,7.63
39501,38382,IMU,0.14,-0.44,7.77,7.78
39601,38482,IMU,0.08,-0.38,7.70,7.71
39701,38582,IMU,0.09,-0.37,7.74,7.75
39801,38682,IMU,0.08,-0.36,7.72,7.73
39901,38782,IMU,0.09,-0.38,7.77,7.78
40001,38882,IMU,0.11,-0.37,7.76,7.77
40101,38982,IMU,0.12,-0.37,7.74,7.75
40201,39082,IMU,0.11,-0.52,7.72,7.74
40301,39182,IMU,0.08,-0.32,7.76,7.77
40401,39282,IMU,0.14,-0.37,7.65,7.66
40501,39382,IMU,0.12,-0.42,7.75,7.77
40601,39482,IMU,0.11,-0.40,7.76,7.77
40781,39663,IMU,0.11,-0.33,7.71,7.72
40801,39682,IMU,0.08,-0.40,7.71,7.72
40901,39782,IMU,0.13,-0.36,7.79,7.80
41001,39882,IMU,0.11,-0.39,7.78,7.79
41101,39982,IMU,0.12,-0.39,7.72,7.73
41201,40082,IMU,0.10,-0.36,7.72,7.73
41301,40182,IMU,0.08,-0.37,7.57,7.58
41401,40282,IMU,0.07,-0.39,7.66,7.67
41501,40382,IMU,0.15,-0.41,7.70,7.71
41601,40482,IMU,0.14,-0.38,7.69,7.70
41701,40582,IMU,0.07,-0.38,7.70,7.71
41801,40682,IMU,0.13,-0.39,7.75,7.76
41901,40782,IMU,0.11,-0.38,7.75,7.76
42001,40882,IMU,0.10,-0.40,7.80,7.81
42101,40982,IMU,0.10,-0.40,7.72,7.73
42201,41082,IMU,0.08,-0.41,7.65,7.66
42301,41182,IMU,0.11,-0.40,7.80,7.81
42401,41282,IMU,0.12,-0.38,7.75,7.76
42501,41382,IMU,0.09,-0.38,7.76,7.77
42601,41482,IMU,0.11,-0.37,7.72,7.73
42781,41663,IMU,0.13,-0.40,7.77,7.78
