teensy_ms,esp_ms,sensor,lux,ir,full,visible
4779,3660,LIGHT,10.60,20,101,81
6779,5660,LIGHT,10.76,20,102,82
8779,7660,LIGHT,10.60,20,101,81
10779,9660,LIGHT,11.07,20,104,84
12779,11660,LIGHT,10.97,21,105,84
14779,13660,LIGHT,11.23,20,105,85
16779,15660,LIGHT,10.44,20,100,80
18779,17660,LIGHT,10.86,19,101,82
20779,19660,LIGHT,10.76,20,102,82
22779,21660,LIGHT,10.76,20,102,82
24779,23660,LIGHT,10.76,20,102,82
26779,25660,LIGHT,10.76,20,102,82
28779,27660,LIGHT,10.86,19,101,82
30778,29660,LIGHT,10.71,19,100,81
32778,31660,LIGHT,10.44,20,100,80
34778,33660,LIGHT,10.44,20,100,80
36778,35660,LIGHT,10.71,19,100,81
38778,37660,LIGHT,10.86,19,101,82
40778,39660,LIGHT,10.86,19,101,82
42778,41660,LIGHT,10.60,20,101,81
44778,43660,LIGHT,10.71,19,100,81
46778,45660,LIGHT,10.44,20,100,80
48779,47660,LIGHT,13.79,24,128,104
50779,49660,LIGHT,14.99,26,139,113
52779,51660,LIGHT,14.89,27,140,113
54778,53660,LIGHT,14.99,26,139,113
56778,55660,LIGHT,14.83,26,138,112
58778,57660,LIGHT,14.57,27,138,111
60778,59660,LIGHT,14.83,26,138,112
62778,61660,LIGHT,14.83,26,138,112
64778,63660,LIGHT,14.68,26,137,111
66778,65660,LIGHT,14.68,26,137,111
68778,67660,LIGHT,14.73,27,139,112
70778,69660,LIGHT,14.68,26,137,111
72778,71660,LIGHT,14.83,26,138,112
74778,73660,LIGHT,14.68,26,137,111
76778,75660,LIGHT,15.04,27,141,114
78778,77660,LIGHT,14.73,27,139,112
80778,79660,LIGHT,14.89,27,140,113
82778,81660,LIGHT,14.99,26,139,113
84778,83660,LIGHT,14.41,27,137,110
86778,85660,LIGHT,15.36,27,143,116
88778,87660,LIGHT,14.68,26,137,111
90778,89660,LIGHT,14.99,26,139,113
92778,91660,LIGHT,14.83,26,138,112
94778,93660,LIGHT,14.68,26,137,111
4809,99660,LIGHT,14.73,27,139,112
6809,101660,LIGHT,13.42,26,129,103
5939,109660,LIGHT,1701.91,2213,14517,12304
4652,115660,LIGHT,1336.91,1496,10980,9484
6652,117660,LIGHT,1263.61,1439,10422,8983
8650,119660,LIGHT,10.08,19,96,77
10651,121660,LIGHT,10.76,20,102,82
12651,123660,LIGHT,10.76,20,102,82
4253,129660,LIGHT,10.24,22,102,80
6252,131660,LIGHT,10.24,19,97,78
8252,133660,LIGHT,10.55,19,99,80
10252,135660,LIGHT,10.55,19,99,80
12253,137660,LIGHT,10.44,20,100,80
14252,139660,LIGHT,10.55,19,99,80
16252,141660,LIGHT,10.55,19,99,80
18252,143660,LIGHT,10.55,19,99,80
20252,145660,LIGHT,10.55,19,99,80
22252,147660,LIGHT,10.55,19,99,80
24252,149660,LIGHT,10.29,20,99,79
26252,151660,LIGHT,10.13,20,98,78
28252,153660,LIGHT,10.13,20,98,78
30252,155660,LIGHT,10.55,19,99,80
32252,157660,LIGHT,10.13,20,98,78
34252,159660,LIGHT,10.55,19,99,80
36252,161660,LIGHT,10.24,19,97,78
38252,163660,LIGHT,10.39,19,98,79
40252,165660,LIGHT,10.55,19,99,80
42252,167660,LIGHT,10.29,20,99,79
44252,169660,LIGHT,10.71,19,100,81
46252,171660,LIGHT,10.71,19,100,81
48252,173660,LIGHT,10.55,19,99,80
50252,175660,LIGHT,10.76,20,102,82
52252,177660,LIGHT,10.60,20,101,81
54252,179660,LIGHT,10.44,20,100,80
56251,181660,LIGHT,10.39,19,98,79
58251,183660,LIGHT,10.29,20,99,79
60251,185660,LIGHT,10.39,19,98,79
62251,187660,LIGHT,10.39,19,98,79
64251,189660,LIGHT,10.24,19,97,78
66251,191660,LIGHT,10.39,19,98,79
68251,193660,LIGHT,10.24,19,97,78
70251,195660,LIGHT,10.24,19,97,78
72251,197660,LIGHT,9.98,20,97,77
74251,199660,LIGHT,10.24,19,97,78
76251,201660,LIGHT,10.24,19,97,78
78251,203660,LIGHT,10.13,20,98,78
80251,205660,LIGHT,10.39,19,98,79
82251,207660,LIGHT,10.55,19,99,80
84251,209660,LIGHT,10.13,20,98,78
86251,211660,LIGHT,10.29,20,99,79
88251,213660,LIGHT,10.55,19,99,80
90251,215660,LIGHT,10.29,20,99,79
92251,217660,LIGHT,10.55,19,99,80
94251,219660,LIGHT,10.29,20,99,79
96251,221660,LIGHT,10.71,19,100,81
98251,223660,LIGHT,10.55,19,99,80
100251,225660,LIGHT,10.29,20,99,79
102251,227660,LIGHT,10.39,19,98,79
104251,229660,LIGHT,10.24,19,97,78
106250,231660,LIGHT,10.39,19,98,79
108250,233660,LIGHT,8.10,14,75,61
110251,235660,LIGHT,15.56,28,146,118
112251,237660,LIGHT,16.09,29,151,122
114251,239660,LIGHT,15.67,30,150,120
116251,241660,LIGHT,15.77,29,149,120
118251,243660,LIGHT,15.62,29,148,119
120251,245660,LIGHT,15.72,28,147,119
122251,247660,LIGHT,15.56,28,146,118
124251,249660,LIGHT,15.41,28,145,117
126250,251660,LIGHT,15.56,28,146,118
128250,253660,LIGHT,15.14,29,145,116
130250,255660,LIGHT,15.41,28,145,117
132250,257660,LIGHT,15.25,28,144,116
134250,259660,LIGHT,15.41,28,145,117
